,Epoch,Statistic,Dataset,Value
0,0,Loss,Train,0.6322693586349487
1,0,Jaccard,Train,0.45114778518676757
2,0,Loss,Test,0.5539168704927495
3,0,Jaccard,Test,0.6963197747163014
4,1,Loss,Train,0.5238276815414429
5,1,Jaccard,Train,0.7225746965408325
6,1,Loss,Test,0.3881755162656835
7,1,Jaccard,Test,0.7510676315400453
8,2,Loss,Train,0.47502376198768614
9,2,Jaccard,Train,0.746612868309021
10,2,Loss,Test,0.3900729515383729
11,2,Jaccard,Test,0.7615718039791141
12,3,Loss,Train,0.4447595131397247
13,3,Jaccard,Train,0.7542434477806091
14,3,Loss,Test,0.37604401781495694
15,3,Jaccard,Test,0.7653412159565276
16,4,Loss,Train,0.4216724419593811
17,4,Jaccard,Train,0.7574460649490357
18,4,Loss,Test,0.37933365670980607
19,4,Jaccard,Test,0.7618350787500364
20,5,Loss,Train,0.40331064581871034
21,5,Jaccard,Train,0.7592436909675598
22,5,Loss,Test,0.35982548636672773
23,5,Jaccard,Test,0.7630175552536956
24,6,Loss,Train,0.39384971737861635
25,6,Jaccard,Train,0.7618532252311706
26,6,Loss,Test,0.36163203246825565
27,6,Jaccard,Test,0.7559872422598105
28,7,Loss,Train,0.38860725522041323
29,7,Jaccard,Train,0.7628505253791809
30,7,Loss,Test,0.3594970914114893
31,7,Jaccard,Test,0.7574118090941843
32,8,Loss,Train,0.3760542643070221
33,8,Jaccard,Train,0.7652883791923523
34,8,Loss,Test,0.3506726319283511
35,8,Jaccard,Test,0.7513465142883031
36,9,Loss,Train,0.3761311721801758
37,9,Jaccard,Train,0.7677704238891602
38,9,Loss,Test,0.3509902943552068
39,9,Jaccard,Test,0.754422000024171
40,10,Loss,Train,0.35800512552261354
41,10,Jaccard,Train,0.773693585395813
42,10,Loss,Test,0.35249457317115984
43,10,Jaccard,Test,0.753810481160088
44,11,Loss,Train,0.34897457122802733
45,11,Jaccard,Train,0.7821798062324524
46,11,Loss,Test,0.356173137120441
47,11,Jaccard,Test,0.744131249664104
48,12,Loss,Train,0.3485130381584167
49,12,Jaccard,Train,0.7842884278297424
50,12,Loss,Test,0.3765324314611148
51,12,Jaccard,Test,0.7299614095054896
52,13,Loss,Train,0.34317989110946656
53,13,Jaccard,Train,0.7879982376098633
54,13,Loss,Test,0.3616351738440252
55,13,Jaccard,Test,0.7434724358330785
56,14,Loss,Train,0.3277624022960663
57,14,Jaccard,Train,0.7966157984733582
58,14,Loss,Test,0.3601366455576061
59,14,Jaccard,Test,0.7485835620787291
