,Epoch,Statistic,Dataset,Value
0,0,Loss,Train,0.7035289911123422
1,0,Jaccard,Train,0.09971200617460105
2,0,Loss,Test,0.7088437934892368
3,0,Jaccard,Test,0.0
4,1,Loss,Train,0.5918566997234638
5,1,Jaccard,Train,0.4071672639021507
6,1,Loss,Test,0.6326421958155337
7,1,Jaccard,Test,0.26514812301745455
8,2,Loss,Train,0.5421713728171128
9,2,Jaccard,Train,0.6085124611854553
10,2,Loss,Test,0.43785712439402014
11,2,Jaccard,Test,0.7132423229977093
12,3,Loss,Train,0.5136143519328191
13,3,Jaccard,Train,0.6708526657177851
14,3,Loss,Test,0.4463176861800979
15,3,Jaccard,Test,0.729918319567115
16,4,Loss,Train,0.4854039389353532
17,4,Jaccard,Train,0.7020321259131799
18,4,Loss,Test,0.4640088988616403
19,4,Jaccard,Test,0.7344419133346692
20,5,Loss,Train,0.4625814648774954
21,5,Jaccard,Train,0.7169831028351417
22,5,Loss,Test,0.45367989366033434
23,5,Jaccard,Test,0.730795206221859
24,6,Loss,Train,0.4429387473143064
25,6,Jaccard,Train,0.7238770952591529
26,6,Loss,Test,0.4464734586994205
27,6,Jaccard,Test,0.6864841031817208
28,7,Loss,Train,0.42182328838568467
29,7,Jaccard,Train,0.7364306220641503
30,7,Loss,Test,0.43457228657418645
31,7,Jaccard,Test,0.7206883208941569
32,8,Loss,Train,0.40340012999681324
33,8,Jaccard,Train,0.7422803456966693
34,8,Loss,Test,0.43485804970285535
35,8,Jaccard,Test,0.7110623907198949
36,9,Loss,Train,0.39797139397034276
37,9,Jaccard,Train,0.7401968332437369
38,9,Loss,Test,0.387858785095468
39,9,Jaccard,Test,0.7296047215968107
