,Epoch,Statistic,Dataset,Value
0,0,Loss,Train,0.6472377731249883
1,0,Jaccard,Train,0.4750353991985321
2,0,Loss,Test,0.6796502154485314
3,0,Jaccard,Test,0.12449473986583473
4,1,Loss,Train,0.5205172048165247
5,1,Jaccard,Train,0.6312696360624753
6,1,Loss,Test,0.455075578088254
7,1,Jaccard,Test,0.7021998578468255
8,2,Loss,Train,0.45832619300255406
9,2,Jaccard,Train,0.6799417367348304
10,2,Loss,Test,0.42777178720035386
11,2,Jaccard,Test,0.6795394003918741
12,3,Loss,Train,0.4144769861147954
13,3,Jaccard,Train,0.7217049644543574
14,3,Loss,Test,0.39805861199851583
15,3,Jaccard,Test,0.7074453160826084
16,4,Loss,Train,0.3980138966670403
17,4,Jaccard,Train,0.7262794512968797
18,4,Loss,Test,0.40881374583835095
19,4,Jaccard,Test,0.7334656446380953
20,5,Loss,Train,0.3804166064812587
21,5,Jaccard,Train,0.73422771692276
22,5,Loss,Test,0.3599787997988473
23,5,Jaccard,Test,0.7507409854272825
24,6,Loss,Train,0.3656379970220419
25,6,Jaccard,Train,0.74144191466845
26,6,Loss,Test,0.37826470516424265
27,6,Jaccard,Test,0.7425763248342329
28,7,Loss,Train,0.3522468415590433
29,7,Jaccard,Train,0.7495010403486398
30,7,Loss,Test,0.33240181471394226
31,7,Jaccard,Test,0.7619874778047072
32,8,Loss,Train,0.3481625203902905
33,8,Jaccard,Train,0.748568580700801
34,8,Loss,Test,0.3723109562312607
35,8,Jaccard,Test,0.7566691157037178
36,9,Loss,Train,0.3402903492634113
37,9,Jaccard,Train,0.7532466833408062
38,9,Loss,Test,0.33802455109832563
39,9,Jaccard,Test,0.7582890496844739
