,Epoch,Statistic,Dataset,Value
0,0,Loss,Train,0.6460314851540786
1,0,Jaccard,Train,0.519742990915592
2,0,Loss,Test,0.6594329360312066
3,0,Jaccard,Test,0.2151677822117257
4,1,Loss,Train,0.5123818127008585
5,1,Jaccard,Train,0.660350304383498
6,1,Loss,Test,0.4217749045485944
7,1,Jaccard,Test,0.7082413878061075
8,2,Loss,Train,0.4495796790489784
9,2,Jaccard,Train,0.72031504374284
10,2,Loss,Test,0.4612985920589582
11,2,Jaccard,Test,0.7101707711683966
12,3,Loss,Train,0.4189088848920969
13,3,Jaccard,Train,0.7377653030248789
14,3,Loss,Test,0.5364930764236281
15,3,Jaccard,Test,0.7082199396285336
16,4,Loss,Train,0.3986722368460435
17,4,Jaccard,Train,0.7427532168535086
18,4,Loss,Test,0.3791715969554091
19,4,Jaccard,Test,0.7490286821812655
20,5,Loss,Train,0.3743382371388949
21,5,Jaccard,Train,0.753483249590947
22,5,Loss,Test,0.35516752553197134
23,5,Jaccard,Test,0.7535539923515995
24,6,Loss,Train,0.36138684703753543
25,6,Jaccard,Train,0.7554018635016221
26,6,Loss,Test,0.37540763484693207
27,6,Jaccard,Test,0.7402125064250642
28,7,Loss,Train,0.3510891863932976
29,7,Jaccard,Train,0.757128908083989
30,7,Loss,Test,0.3621339958853426
31,7,Jaccard,Test,0.7457113060276065
32,8,Loss,Train,0.3438269473039187
33,8,Jaccard,Train,0.760096958050361
34,8,Loss,Test,0.3474487612205269
35,8,Jaccard,Test,0.7507742928192679
36,9,Loss,Train,0.3339108320382925
37,9,Jaccard,Train,0.7603295353742746
38,9,Loss,Test,0.34532361062227096
39,9,Jaccard,Test,0.7507151317807426
